Front Text;Back Text
apricot;morela
milepost;(US) kamień milowy(ważny punkt, kluczowy etap)
theme;temat
a lot of;dużo
ivory;kość słoniowa
steelworks;stalownia, huta żelaza
herry;zadręczać, ciągle atakować
ugly;brzydki
permanently;trwale, na stałe
powdered;sproszkowany
marathon runner;maratończyk
almond;migdał, migdałowiec
claim;roszczenie, prawo, żądać
basting;podlewanie, lanie, baty
reflection;odbicie, odzwierciedlenie, zastanawianie się, refleksja
strained;nadwyrężony
shortcut;skrót
injury;uraz, kontuzja
unease;niepokój, zaniepokojenie
value;wartość, wyceniać
lexicon;leksykon, słownik
responsibly;odpowiedzialnie
berserk;oszalały
queer;dziwny
durability;trwałość, wytrzymałość
hushed;ściszony, przyciszony
drowned;umarły przez utopienie
ATM;bankomat
undertaking;przedsięwzięcie, zobowiązanie
muck;brud, gnój
to get a tan;opalić się
fatty;tłusty, grubas(ka)
posture;postura, postawa
uncomfortable;niewygodny
wind;wound wound - wiatr, nawijać
amplifier;wzmacniacz
burden;ciężar, obciążenie, obciążać
stroke;uderzenie, uderzać, styl pływacki, udar, wylew
gear;przekładnia, bieg
double;podwójny, sobowtór, podwajać
I took into account;Brałem pod uwagę
intelligent;inteligentny
germ;zarazek(MED)
sonny;synek
thesis;pl theses - rozprawa(for doctorate), praca
noble;szlachetny
cry out;krzyczeć
instrument;narzędzie, instrument
grain;ziarno
gymnastics;gimnastyka
lemonade;lemoniada
pie;placek
howl;wyć, głośno płakać, wycie
woodcutter;drwal
alliance;przymierze, sojusz
hoarsely;ochryple
sore;bolący, bolesny, rana, bolące miejsce
serious;poważny
stratum;pl strata - warstwa
homely;prosty, niewyszukany, brzydki, swojski, domowy
mantle;płaszcz, okrycie, obowiązki, okryć
hack;ciosać, włamywać się(do komputera), cios, cięcie
troops;żołnierze, wojsko
wail;płacz, wycie, płakać, wyć
delightful;zachwycający, wspaniały
modern;współczesny, nowoczesny
flaky;płatkowaty, łuskowaty, łuszczący się
thief;pl thieves - złodziej
deliver;dostarczać
perimeter;granica, obwód(geometry)
slot;otwór, okienko
brake pad;klocek hamulcowy
vinegar;ocet
witchcraft;czary, czarna magia
reject;odrzut, odrzucać
to feel lousy;czuć się podle
icy;lodowaty, oblodzony
tonne;tona(metryczna)
well-paid;dobrze płatny
fifteen;piętnaście(15)
plan;plan, planować
graphic;obrazkowy, graficzny
invitation;zaproszenie
lacking;brakujący, nieistniejący
ballroom;sala balowa
member;członek
lung;płuco
take a photo;robić zdjęcie
oasis;pl oases - oaza
phial;fiolka
turn out;wyłączać, przybywać(people)
tough;twardy, mocny, wytrzymały, trudny
season;pora roku, sezon
have to;musisz(przymus nałożony przez kogoś np. muszę nakarmić psa bo ktoś mi kazał)
worry;zmartwienia, martwić się
disgrace;hańba, przynosić hańbę
explosion;eksplozja, wybuch
toggle;kołeczek(zapięcie w kurtce), przełączenie, przełączać
funeral;pogrzeb
invite;zapraszać, zachęcać
duty;pl duties - obowiązek
grab;chwytać, korzystać z
arise;arose arisen - powstawać, pojawiać się
beetroot;burak ćwikłowy
budge;poruszać, nakłonić
grudgingly;niechętnie, powściągliwie
shallow;płytki, mielizna
Jew;Żyd
expensive;drogi, kosztowny
hat;kapelusz
flower;kwiat, kwitnąć
loss;utrata, strata
Mrs.;(US) pani(tytuł przed nazwiskiem, o kobiecie zamężnej)
alive;żywy
contemptuously;pogardliwie
afterwards;(UK) potem, później
shuffle;tasować(cards), iść powłócząc nogami
admiral;admirał
stupid;głupi
say;said said - mówić
scenery;dekoracje, krajobraz
pavement;chodnik, bruk
gown;suknia
contact lenses;soczewki kontaktowe
invention;wynalazek
command;polecenie, rozkaz, dowodzić
parka;długa kurtka z futrzanym kapturem
godliness;pobożność
energetic;energiczny
mourning;żałoba, lament
cash register;kasa sklepowa
petite;drobny
rolled;zawijany
outlaw;osoba wyjęta spod prawa, banita
rumble;dudnienie, dudnić
untidy;nieczysty, niechlujny
eatables;żywność, jedzenie
vehicle;pojazd
prime number;liczba pierwsza(MATH)
stadium;pl stadiums/stadia - stadion
Monday;poniedzialek
monstrous;potworny
interchange;wymiana, rozjazd(MOTORWAY)
predicament;kłopotliwe położenie
salmon;łosoś
registration;rejestracja
dramatic;dramatyczny
ordained;wyświęcony
thunderstruck;jak rażony piorunem, zaskoczony
casualty;ofiara, izba przyjęć(IN HOSPITAL)
bank;bank, brzeg
stumping;zabicie klina, zbicie z tropu
universal;powszechny, uniwersalny
alight;alit alit - wysiadać, wylądować, zsiadać, płonący
snuff out;zgasić
shorts;szorty
clip;spinacz, spinka, klip, przypinać
hole;dziura, dziurawić
stow;spakować, przestać
twinkling;chwila, moment, migotanie
beside;obok, oprócz, poza
hook up;podłączać
sulphur;siarka(UK)
broadcast;broadcast broadcast - program, nadawać, emitować
according;według
flat tire;(US) przebita opona, kapeć
seaward;skierowany ku morzu, w kierunku morza
piracy;nielegalne kopiowanie, piractwo
neither sth nor sth;ani coś ani coś innego
fasten sth up;zawiązywać coś, zapinać coś
slowly;wolno
leave;left left - wychodzić, opuszczać, urlop
get cold feet;przestraszyć się, mieć pietra
i.e.;(id est) - czyli, to jest
creek;dopływ, rzeka, strumień
unreasonable;nierozsądny, nadmierny
whilst;= while - chwila, w chwili, podczas gdy
obviously;wyraźnie, oczywiście
stylus;pl styli/styluses - igła
airline;linia lotnicza
swain;zakochany młodzieniec
paint;farba, malować
honorable;(US) honorowy, zaszczytny
suspicion;podejrzenie
bobbin;szpulka, bobinka(do nawijania nici, drutu)
compassionate;pełen współczucia, współczuć(old use)
instinctive;instynktowny, odruchowy
flutter;trzepotać, trzepot
raven;kruk(bird), kruczoczarny
straying;błądzenie
upon;na
believe;wierzyć
leadership;kierownictwo, umiejętność przewodzenia
grieving;rozpacz, wielki smutek
redo;ponowić, przywrócić(wycofaną wcześniej operacje)
tide;pływ(IN SEA)
engrave;grawerować, ozdobić
embroidery;haft, haftowanie
turnover;obroty(turnover is 9 million pounds)
profess;twierdzić, zapewniać, wyznawać
mass;masa, masowy
dynamic;dynamiczny
relief;ulga, pomoc, płaskorzeźba, rzeźba terenu
recognition;rozpoznanie
purchase;zakup, kupno, zakupować
rude;nieuprzejmy
on tiptoe;na palcach, na paluszkach
tonsil;migdałek(ANATOMY)
bumpy;nierówny, wyboisty
because of;z powodu
sulfur;siarka(US)
hissing;syk, syczenie
spicy;mocno przyprawiony, ostry
siren;syrena
fasten;zapiąć, zamknąć
guidebook;przewodnik
bio...;bio...
dishwasher;zmywarka(do naczyń)
croquet;krokiet(GAME)
great;wielki, świetny
professor;profesor(tytuł naukowy)
adolescent;młodociany, nastolatek(-tka)
oatmeal;owsianka, mąka owsiana
deafening;ogłuszający
required;wymagany
fin;płetwa
hastily;pospiesznie, prędko, lekkomyślnie
apprentice;praktykant(-tka), odbyć praktykę
rosemary;rozmaryn
flute;flet
thundering;olbrzymi, kolosalny
awful;straszny, okropny
inwardly;wewnątrz
lance;lanca, nacinać(MED)
deaf as a post;głuchy jak pień
brave;dzielny, stawiać czoło
roast;pieczeń, piec
fold;zagięcie, składać
struct;struktura
digital;cyfrowy
pothead;(informal) ćpun(-ka)(palący haszysz lub marichuanę)
offend;obrażać, urażać
sister;siostra
neighbourhood;okolice, sąsiedzi
saw;sawed sawed/sawn - piła, piłować, powiedzonko
letter;list, litera
quiver;drżeć
godmother;matka chrzestna
education;kształcenie, edukacja, wykształcenie
cover;ubezpieczenie, przykryć, ukryć, pokrywa
specter;(US) widmo, zjawa
foghorn;róg mgłowy(syrena okrętu)
embarrassed;pełen zakłopotania
flicker;migotać, migotanie
pour;lać, nalewać
danger;niebezpieczeństwo
chat;gadać, pogawędka
diskette;dyskietka
stork;bocian
find out;dowiadywać się, odkrywać
nun;zakonnica
awkwardly;niezręcznie
acidity;kwasowość
give up;poddać się
fallout;opad radioaktywny
oregano;oregano
wonderment;zdumienie, zdziwienie
stay up;nie kłaść się(spać)
stockade;palisada, obwarowanie, zabezpieczać obwarowaniem
strengthen;umacniać, wzmacniać
gypsy;Cygan(ka)
bitterly;gorzko, zawzięcie
allege;zarzucać, twierdzić
ago;temu(np. dwie godziny temu)
regiment;pułk, legion, duże zgromadzenie
sudden;nagły
topsail;marsel(marsżagiel - prostokątny żagiel rejowy)
shockingly;skandalicznie
inn;gospoda
burn;burned/burnt burned/burnt - palić się, oparzenie
tailor;krawiec, dopasowywać
fireplace;kominek
sorceress;czarownica
acorn;pl acorns - żołądź(dębowy)
immense;ogromny
ride down;przejechać konno, dogonić jadąc na koniu
determination;determinacja, zdecydowanie
buccaneer;korsarz, pirat
sunburn;oparzenie słoneczne
chart;wykres, mapa, nanosić na mapę
pig in a poke;kot w worku
willow;wierzba
freckle;pieg
chemist's;apteka
seaside;tereny nadmorskie, wybrzeże morza, nadmorski
shoe;but
arsenic;arszenik
ball;piłka, bal
goblin;chochlik
incomprehensive;o ograniczonym zasięgu
whithero;dokąd
sinewy;silny, muskularny
fellowship;koleżeństwo, współudział, stypendium naukowo-badawcze
chamber;komnata, izba
peel;skórka(ORANGE), obierać, łuszczyć się
health;zdrowie
presume;przypuszczać
continual;ciągły, nieustanny
shower;prysznic, brać prysznic
astronomical;astronomiczny, ogromny
gay;homoseksualista, gej, lesbijka, homoseksualny
rabbit;królik
aster;aster(roślina ozdobna)
jitter;drganie
testy;gniewny, przewrażliwiony
creativity;kreatywność
lava;lawa
engagement;zajęcie, narzeczeństwo
fool;głupiec, idiota(-tka), oszukiwać, nabierać
wrath;gniew
already;już
earn money;zarabiać pieniądze
residence;rezydencja
assistant;pomocnik(-ica)
squeeze;ściskać, wyciskać, tłok, ucisk
ghoul;upiór(ghost)
involved;zawiły, wymagany, zaangażowany
shout;okrzyk, krzyczeć
homeless;bezdomny
murmur;szmer, mruczeć
strange;dziwny, obcy
burning;płonący
meeting;spotkanie
indecent;nieprzyzwoity
grip;uchwyt, uścisk
smog;smog
alcoholism;alkoholizm
fashionable;modny
festival;festiwal, festyn, święto, świąteczny
suit;garnitur, pasować
Could I speak to Łukasz, please?;Czy mogę rozmawiać z Łukaszem?
son;syn
roughly;z grubsza, mniej więcej
lace;koronka
digit;cyfra
plentifully;obficie
joyous;radosny, pełen radości
call out;zwołać
fuse box;skrzynka bezpiecznikowa
injection;zastrzyk
harvester;kombajn(żniwny)
bundle;wiązka, paczka, plik
indirect;pośredni
vain;próżny, daremny
cut down;ścinać, ograniczać
activity;działalność, działanie
tenderly;czule, delikatnie
tour;podróż, wycieczka
croissant;rogalik francuski, croissant
rather than;zamiast
typewriter;maszyna do pisania
hairbrush;szczotka do włosów
adventure;przygoda
keyhole;dziurka od klucza
economic;ekonomiczny, opłacalny
ray;promień
joyfully;szczęśliwie, radośnie
nucleus;pl nucleuses/nuclei - jądro, rdzeń
Tuesday;wtorek
bluff;wprowadzić w błąd, blefować, blef, urwisko
super;super
breezy;wietrzny
unbarring;odryglowanie
wing;skrzydło
again;znowu, ponownie
troop;grupa, gromada, hufiec, iść grupą, gromadzić
stiffly;sztywno, ciężko
stooped;zgarbiony
solely;wyłącznie, jedynie
baron;baron(tytuł szlachecki)
old;older/elder the oldest/the eldest - stary
train;pociąg, trenować
trombone;puzon(instrument)
along with;razem z, wraz z
disaster;klęska, katastrofa
hammer;młot, wbijać, walić
recruit;rekrut, rekrutować
barrel;beczka, lufa(GUN)
triumphantly;tryumfalnie, zwycięsko
fiance;narzeczony
privilege;przywilej, zaszczyt
abound;mnożyć się
syllabus;pl syllabuses/syllabi - program nauczania
qualification;kwalifikacje
face to face;twarzą w twarz
whine;jęk, wycie, jęczeć, skomleć
struggle;walka, walczyć
wildlife;(dzika) przyroda
client;klient(ka)
steer;kierować, sterować, prowadzić
destroy;niszczyć
devil;diabeł
no parking;zakaz parkowania
join;dołączać
laser beam;wiązka laserowa
tendency;skłonność, tendencja
device;urządzenie
agent;agent(ka), środek(chemiczny), czynnik
part-time;na niepełny etat
gamble;ryzyko
convent;klasztor
advanced;wyższy, dla zaawansowanych, postępowy
squire;dziedzic, giermek, towarzyszyć kobiecie(np. na balu)
aware of;świadomy czegoś
gleaming;świecący, lśniący, błyszczący
lime tree;(UK) lipa(tree), lipowy, drzewo limonkowe
totter;chwianie, chwiać się
hark back;wspominać
unknow;nieznany
workout;trening
zoo;zoo
hearty;obfity, szczery
rosy;różany, różowy, kwitnący
warehouse;magazyn, hurtownia
speed;sped/speeded sped/speeded - szybkość, pędzić
pit-a-pat;będnienie, bębnić, stuk-puk
brilliantly;błyskotliwie, znakomicie
checksum;suma kontrolna
node;węzeł
ladder;drabina
celebrity;(znana)osobistość, sława
peddler;handlarz(-arka)
hourglass;klepsydra(do mierzenia czasu)
break down;psuć się, załamywać się
fatten;dokarmiać, tuczyć
freelance;niezależny(journalist), wolny strzelec
maintainable;dający się utrzymać
earl;hrabia
protein;białko, proteina
negligible;nieistotny
sceptre;(UK) berło
multi...;wielo..., multi...
examine;sprawdzać, badać
millstone;kamień młyński
ribbon;wstążka, taśma
moody;humorzasty
arms;broń, uzbrojenie
component;składnik, składowy
hound;pies, ścigać, prześladować
piece;kawałek
ground;ziemia, grunt
anger;gniew, złość, rozgniewać
alphanumeric;alfanumeryczny
silken;jedwabisty, jedwabny
eight;osiem(8)
mocking;kpiący, szyderczy
mood;nastrój, humor
lose;lost lost - gubić, tracić, przegrywać
bedraggled;przemoczony, w nieładzie
appealing;pociągający
craft;rzemiosło, wyprodukować rzemieślniczo, statek
cheer;radosny, wiwat, wiwatować
moreover;ponadto
run;ran run - bieg, biec, uruchamiać
fade in;rozjaśniać
light;lit lit - światło, oświetlać, lekki
priest;ksiądz, kapłan
interesting;interesujący, ciekawy
respect;szacunek, szanować
subtitles;napisy
melodic;melodyjny, przyjemny dla ucha
mirror image;lustrzane odbicie
switchboard;centrala(telefoniczna), tablica rozdzielcza
drive away;odjechać
readable;czytelny, łatwy do odczytania
poem;wiersz
carpet;dywan
presumably;przypuszczalnie, prawdopodobnie
march;maszerować, marsz
so to speak;że tak powiem
genre;gatunek(literacki, filmowy, muzyczny)
student;student, uczeń
cleave;cleft/cleaved/clove cleft/cleaved/cloven - rozłupać, rozdzielić
rival;rywal
stamp;znaczek, pieczątka, piętno, naklejać znaczek na, stemplować
additional;dodatkowy
express;wyrażać, wyraźny, ekspresowy, ekspres(train)
clear;jasny, klarowny, czysty
hit;hit hit - uderzać, uderzenie, hit(przebój)
crusader;krzyżowiec
price;cena, wyceniać
real;prawdziwy
salad;sałatka
earshot;zasięg słuchu
scared;przestraszony
liquorice;(UK) lukrecja
vector;wektor(MATH)
study;studiować, uczyć się
hulk;kadłub rozbitego statku, kolos(person, building)
vow;przyrzeczenie, ślubowanie, przysięga, ślubować, obiecać
faulty;wadliwy
post office;urząd pocztowy
blessing;błogosławieństwo
themselves;siebie, oni sami
blast;podmuch, eksplozia, wysadzić w powietrze
commander;dowódca, komandor(MILITARY), porucznik(MILITARY)
hinge;zawias, powiesić na zawiasie
stick;stuck stuck - kij, przyklejać
initial;początkowy, pierwsza litera (initials - inicjały)
trough;koryto, rynna
God;Bóg, Boże
a question of time;kwestia czasu
contact;kontakt, kontaktować się
fluorescent;fluorescencyjny
imp;diabełek
forthwith;natychmiast, niezwłocznie
online retailer;sklep internetowy
bargain;okazja, transakcja, targować się
metal;metal
texture;tekstura
wave;fala, machnięcie, falować, machać
be in charge of;być odpowiedzialny za
crossword;krzyżówka
relation;relacja, związek, krewny
doubtful;wątpliwy, pełen wątpliwości
shutdown;przerwa, zamknięcie
opinion;opinia, zdanie
beer can;puszka po piwie
titanium;tytan(metal)
replace;zastępować, odkładać
care;opieka, troska, opiekować się
until;aż, do
mild;łagodny
cruel;okrutny
apart;z dala, oddzielnie, osobno
take out sb;wyjść z kimś, zamordować kogoś
candy;cukierek, słodycze
organiser;(UK) organizator(ka)
inevitably;nieuchronnie
bidding;licytacja, polecenie
array;macierz, matryca, tablica
honest;uczciwy
supervisor;nadzorca, promotor(university)
their;ich
absent;nieobecny
destroyer;niszczyciel
fingerprint;odcisk palca, zdejmować odciski palców
cock;kogut, kutas, kumpel
CEO;Chief Executive Officer - dyrektor generalny
interval;przerwa, interwał
proportion;odsetek, proporcja, dostosowywać
corduroy;sztruks
strand;kosmyk(włosów), nić, brzeg, osiąść na mieliźnie
time;czas
authorization;pozwolenie
circuit;obwód(elektryczny), objazd, okrążenie
look after;opiekować się
prognosis;pl prognoses - rokowanie(MED), prognoza
slap;prosto, klaps, dawać klapsa, spoliczkować
fame;sława
instance;przypadek, instancja
to glance at;zerknąć na, rzucać okiem na
halo;aureola
squadron;szwadron, dywizjon
pomegranate;granat(OWOC)
miscellaneously;rozmaicie, różnorodnie
autobiographical;autobiograficzny
innocence;niewinność, naiwność
unusual;niezwykły, niecodzienny
cooperative;wspólny, pomocny
dart;rzutka
date;data, spotkanie, randka, daktyl
tyre;(UK)opona
plug;wtyczka, wtykać coś do
head office;siedziba główna
hero;pl heroes - bohater
churchyard;cmentarz(przy kościele), teren przy kościele
address;adres, adresować, zwracać się
bra;biustonosz, stanik
monster;potwór
don't need to;nie musisz
force;siła, moc, zmuszać
oppress;uciskać, gnębić
upward;w górę, ku górze
sick;chory
persistence;trwałość, wytrwałość
in front of;przed
vulnerable;podatny, wrażliwy, bezbronny
precious;cenny
teeny-tiny;malutki, bardzo mały
eighty;osiemdziesiąt(80)
fellow;gość, facet
heart pounding;bicie serca
downtown;centrum miasta
imprison;uwięzić, wsadzić do więzienia
life raft;tratwa ratunkowa
linger;utrzymywać się, zwlekać
descend;schodzić
throne;tron
neighbour;sąsiad(ka)
desert;pustynia, opuszczać
diverse;różnorodny
lip;warga
wax;wosk, parafina, woskować
imagination;wyobraźnia
zoology;zoologia
article;artykuł, przedimek(LING)
never;nigdy
do the washing-up;zmywać naczynia
foremost;przedni, pierwszy
unfortunate;pechowy, nieszczęśliwy
find;found found - znajdować
permission;pozwolenie
off-site;poza miejscem pracy
manganese;mangan
sort of;tak jakby
refrain;powstrzymać się, refren
wicker;wiklinowy
criticism;krytyka
armful;naręcze
jobseeker;szukający pracy
sprint;sprint, biegać sprintem
piggy;świnka
cleanliness;czystość, schludność
hungry;głodny
outstanding;wyróżniający się, wybitny, zaległy(bills)
ambitious;ambitny
justice;sprawiedliwość
crouch;przysiad, przykucnąć
shears;nożyce ogrodowe
joint;złącze(TECH), staw(ANAT), skręt
versatile;wszechstronny, mający wiele zastosowań
pressure;nacisk, ciśnienie
puzzling;zagadkowy
economical;ekonomiczny, oszczędny
hovering;unoszenie się, unoszący się
intensive;intensywny
sandbank;mielizna
legend;legenda
rope;sznur, lina, przywiązywać
unmindful;nierozważny
wrench;klucz(do nakrętek), szarpać, szarpnięcie
antisocial;aspołeczny
phenomenon;pl phenomena - zjawisko
dialect;dialekt(forma języka dla jakiegoś obszaru)
altogether;całkowicie, zupełnie, generalnie
thick;gruby, gęsty
play;sztuka, grać, bawić się
garbage;śmieci, bzdury
anchor;kotwica, prezenter, zakotwiczyć
hoover;(UK) odkurzać
slob;niechluj
sing;sang sung - śpiewać
confidante;powiernica
worm;robak
